state,total
Alabama,4863300.0
Alabama,4780131.0
Alabama,1.7
Alabama,4779736.0
Alabama,6.0
Alabama,6.4
Alabama,22.6
Alabama,23.7
Alabama,16.1
Alabama,13.8
Alabama,51.6
Alabama,51.5
Alabama,69.3
Alabama,26.8
Alabama,0.7
Alabama,1.4
Alabama,0.1
Alabama,1.6
Alabama,4.2
Alabama,65.8
Alabama,363170.0
Alabama,3.5
Alabama,2230185.0
Alabama,2171853.0
Alabama,68.7
Alabama,125500.0
Alabama,1139.0
Alabama,345.0
Alabama,717.0
Alabama,15001.0
Alabama,1848325.0
Alabama,2.55
Alabama,85.3
Alabama,5.2
Alabama,84.3
Alabama,23.5
Alabama,11.8
Alabama,10.7
Alabama,58.0
Alabama,53.0
Alabama,7576462.0
Alabama,26039632.0
Alabama,124809759.0
Alabama,57746565.0
Alabama,58564965.0
Alabama,12145.0
Alabama,24.4
Alabama,43623.0
Alabama,24091.0
Alabama,17.1
Alabama,98540.0
Alabama,1634391.0
Alabama,67370353.0
Alabama,1.9
Alabama,322025.0
Alabama,374153.0
Alabama,203604.0
Alabama,137630.0
Alabama,92219.0
Alabama,272651.0
Alabama,41943.0
Alabama,316984.0
Alabama,94.4
Alabama,50645.33
Alaska,741894.0
Alaska,710249.0
Alaska,4.5
Alaska,710231.0
Alaska,7.3
Alaska,7.6
Alaska,25.2
Alaska,26.4
Alaska,10.4
Alaska,7.7
Alaska,47.7
Alaska,48.0
Alaska,66.1
Alaska,3.8
Alaska,15.2
Alaska,6.3
Alaska,1.3
Alaska,7.3
Alaska,7.0
Alaska,61.2
Alaska,69323.0
Alaska,7.4
Alaska,310658.0
Alaska,306967.0
Alaska,63.4
Alaska,250000.0
Alaska,1827.0
Alaska,554.0
Alaska,1146.0
Alaska,1503.0
Alaska,250969.0
Alaska,2.81
Alaska,80.9
Alaska,16.2
Alaska,92.1
Alaska,28.0
Alaska,8.1
Alaska,15.5
Alaska,67.7
Alaska,65.0
Alaska,2221335.0
Alaska,6375483.0
Alaska,5216303.0
Alaska,10474275.0
Alaska,14320.0
Alaska,19.0
Alaska,72515.0
Alaska,33413.0
Alaska,9.9
Alaska,20907.0
Alaska,267999.0
Alaska,15643303.0
Alaska,0.4
Alaska,55521.0
Alaska,68032.0
Alaska,35402.0
Alaska,22141.0
Alaska,13688.0
Alaska,51147.0
Alaska,7953.0
Alaska,56091.0
Alaska,1.2
Alaska,570640.95
Arizona,6931071.0
Arizona,6392301.0
Arizona,8.4
Arizona,6392017.0
Arizona,6.3
Arizona,7.1
Arizona,23.5
Arizona,25.5
Arizona,16.9
Arizona,13.8
Arizona,50.3
Arizona,50.3
Arizona,83.3
Arizona,4.9
Arizona,5.4
Arizona,3.4
Arizona,0.3
Arizona,2.8
Arizona,30.9
Arizona,55.5
Arizona,505794.0
Arizona,13.5
Arizona,2961003.0
Arizona,2844526.0
Arizona,62.8
Arizona,167500.0
Arizona,1343.0
Arizona,380.0
Arizona,913.0
Arizona,35578.0
