Date,state,handgun,long_gun,other,multiple,totals
2017-09-01,Alabama,5734.0,6320.0,221.0,317,32019
2017-09-01,Alaska,2320.0,2930.0,219.0,160,6303
2017-09-01,Arizona,11063.0,7946.0,920.0,631,28394
2017-09-01,Arkansas,4347.0,6063.0,165.0,366,17747
2017-09-01,California,37165.0,24581.0,2984.0,0,123506
2017-09-01,Colorado,15751.0,13448.0,1007.0,1062,35873
2017-09-01,Connecticut,4834.0,1993.0,274.0,0,12117
2017-09-01,Delaware,1414.0,1538.0,66.0,68,3502
2017-09-01,District of Columbia,56.0,4.0,0.0,0,61
2017-09-01,Florida,39199.0,17949.0,2319.0,1721,77390
2017-09-01,Georgia,10933.0,7982.0,315.0,494,35371
2017-09-01,Guam,74.0,47.0,10.0,3,135
2017-09-01,Hawaii,0.0,0.0,0.0,0,948
2017-09-01,Idaho,3058.0,5241.0,187.0,205,14938
2017-09-01,Illinois,18290.0,10201.0,0.0,814,116449
2017-09-01,Indiana,16093.0,11332.0,1123.0,597,48524
2017-09-01,Iowa,151.0,2640.0,27.0,1,9975
2017-09-01,Kansas,4518.0,5025.0,306.0,297,12856
2017-09-01,Kentucky,8112.0,7543.0,253.0,543,398706
2017-09-01,Louisiana,10495.0,11573.0,635.0,776,27821
2017-09-01,Maine,3026.0,4220.0,179.0,186,8715
2017-09-01,Mariana Islands,12.0,3.0,0.0,1,16
2017-09-01,Maryland,3389.0,4897.0,168.0,34,11255
2017-09-01,Massachusetts,4749.0,2808.0,449.0,158,15460
2017-09-01,Michigan,8654.0,10676.0,379.0,163,36944
2017-09-01,Minnesota,4862.0,12677.0,346.0,273,44552
2017-09-01,Mississippi,6260.0,6035.0,206.0,405,17491
2017-09-01,Missouri,16993.0,14395.0,1050.0,991,37571
2017-09-01,Montana,2395.0,4878.0,140.0,216,10283
2017-09-01,Nebraska,110.0,1989.0,11.0,4,5345
2017-09-01,Nevada,3992.0,2509.0,251.0,237,9460
2017-09-01,New Hampshire,4410.0,3248.0,132.0,3,10689
2017-09-01,New Jersey,3985.0,3040.0,140.0,0,7165
2017-09-01,New Mexico,5309.0,4508.0,353.0,284,12491
2017-09-01,New York,8392.0,16213.0,998.0,185,30703
2017-09-01,North Carolina,1235.0,11340.0,657.0,233,37325
2017-09-01,North Dakota,1359.0,2919.0,99.0,82,5212
2017-09-01,Ohio,21085.0,14998.0,1202.0,1026,49942
2017-09-01,Oklahoma,8869.0,9020.0,741.0,807,23371
2017-09-01,Oregon,11557.0,11773.0,0.0,7,27277
2017-09-01,Pennsylvania,39825.0,13222.0,48.0,0,77003
2017-09-01,Puerto Rico,619.0,123.0,17.0,22,791
2017-09-01,Rhode Island,907.0,619.0,70.0,163,1799
2017-09-01,South Carolina,7574.0,6037.0,379.0,295,25930
2017-09-01,South Dakota,2020.0,4155.0,154.0,141,7457
2017-09-01,Tennessee,19219.0,13746.0,1042.0,0,50945
2017-09-01,Texas,39119.0,39416.0,2768.0,2473,128260
2017-09-01,Utah,2840.0,3960.0,212.0,0,20041
2017-09-01,Vermont,1276.0,1591.0,90.0,80,3084
2017-09-01,Virgin Islands,6.0,2.0,0.0,0,9
2017-09-01,Virginia,19676.0,15075.0,1100.0,0,36446
2017-09-01,Washington,13292.0,11548.0,1623.0,587,43049
2017-09-01,West Virginia,5204.0,6161.0,216.0,387,16723
2017-09-01,Wisconsin,10918.0,13133.0,612.0,43,37506
2017-09-01,Wyoming,1337.0,2015.0,61.0,97,4281
2017-08-01,Alabama,6289.0,6045.0,216.0,311,35038
2017-08-01,Alaska,2656.0,3097.0,207.0,184,6946
2017-08-01,Arizona,10864.0,7686.0,908.0,627,29376
2017-08-01,Arkansas,4827.0,5297.0,220.0,323,17517
2017-08-01,California,41110.0,26220.0,3058.0,0,130901
2017-08-01,Colorado,16610.0,12925.0,1013.0,1035,37150
2017-08-01,Connecticut,5289.0,1988.0,290.0,0,14019
2017-08-01,Delaware,1571.0,1349.0,94.0,58,3509
2017-08-01,District of Columbia,54.0,6.0,0.0,1,80
2017-08-01,Florida,46682.0,21717.0,2847.0,2048,96664
2017-08-01,Georgia,11719.0,7797.0,377.0,525,38830
2017-08-01,Guam,105.0,47.0,5.0,2,159
